user_id,group_id,timestamp,preferred_cuisine,usual_eating_time,preferred_place,main_course,extra_treat,drink_choice,comfort_sip,dietary_preference
user1,group1,2025-04-26 09:10:10,"['Mediterranean', 'Asian']",Nightlife,"['Cafes', 'Street Food Stalls', 'Diners']","['Noodles and Ramen', 'Soup and Noodles', 'Burgers and Pizza']","['Desserts', 'Smoothies and Bagels']",['Juice'],['Coffee'],No Preference
user14,group3,2025-04-26 09:10:32,"['Italian', 'Chinese', 'Pakistani', 'Indian', 'Middle']",Nightlife,"['Diners', 'Restaurants', 'Cafes']","['Chicken and Salad', 'Fish and Chips', 'Pizza and Wings']","['Desserts', 'Smoothies and Bagels']","['Wine', 'Cocktail']",['Tea'],Non-Vegetarian
user8,group2,2025-04-26 09:10:42,['Indian'],Nightlife,['Restaurants'],['None of the below'],['Desserts'],['Juice'],['Tea'],No Preference
user2,group1,2025-04-26 09:10:43,['Indian'],Brunch,['Restaurants'],['None of the below'],['Yogurt and Smoothies'],['Juice'],['None of the below'],Non-Vegetarian
user7,group2,2025-04-26 09:11:03,['Indian'],Nightlife,['Street Food Stalls'],['Burgers and Pizza'],['Desserts'],['Beer'],['Tea'],Non-Vegetarian
user4,group1,2025-04-26 09:11:11,"['Thai', 'Mexican']",Breakfast,"['Diners', 'Buffets', 'Bars']","['Burgers and Pizza', 'Soup and Sandwiches']",['Desserts'],"['Beer', 'Wine', 'Cocktail', 'Juice']",['Tea'],Vegetarian
user3,group1,2025-04-26 09:11:16,"['Pakistani', 'Indian']",Nightlife,"['Diners', 'Restaurants']","['Pizza and Wings', 'Chicken and Salad', 'Fish and Chips']",['Desserts'],['Juice'],"['Coffee', 'Tea']",No Preference
user10,group2,2025-04-26 09:11:26,"['Mediterranean', 'Indian', 'Thai']",Nightlife,"['Restaurants', 'Cafes']","['Soup and Noodles', 'Soup and Sandwiches', 'Tacos and Chips']","['Desserts', 'Yogurt and Smoothies']",['Juice'],['Coffee'],Vegetarian
user6,group2,2025-04-26 09:11:32,['Indian'],Nightlife,"['Diners', 'Buffets']",['Tacos and Chips'],['Yogurt and Smoothies'],['Juice'],['None of the below'],Vegetarian
user9,group2,2025-04-26 09:11:34,['Indian'],Nightlife,"['Restaurants', 'Street Food Stalls']",['Chicken and Salad'],['Yogurt and Smoothies'],['Juice'],['None of the below'],Non-Vegetarian
user12,group3,2025-04-26 09:11:49,['Indian'],Brunch,"['Cafes', 'Restaurants', 'Diners', 'Buffets']",['Soup and Noodles'],['Desserts'],['None of the below'],['Tea'],Vegetarian
